The resort has all the facilities you would expect. It was our second trip to Sandals and it lived up to the great service we had first time.The only drawback is the lack of shade around the beach area.All shaded sunbeds were reserved (many by Butlers) by 6 am!.,POSITIVE,0.55,0.45
Everything you want for a fun adult holiday,POSITIVE,1.0,0.0
Excellent resort but food was average,POSITIVE,0.99,0.01
Perennial problem of butlers snatching seats,POSITIVE,0.9,0.1
The resort was beautiful. The beach was amazing. The grounds were immaculate.We were in the Carrabian end of the resort which was the older part of the complex. (Room 509). The room was lovely but you could tell it was older. The bed was firm.As the resort is quite large it never really had the feel of being crowded which was nice. The main complaint would be that there was not enough shade. The few shades on the beach were 'reserved' very early by customers who had paid for butlers. Very often these shades would stay empty for much of the day. Around the pool the shades often had to be put down because it got too breezy.The choice of places to eat was great. A really good variety and all of very high quality.,POSITIVE,1.0,0.0
"Really enjoyable.The furnishings in the room were a little tired for example a drawer in the drawer unit was broken; some of the wood veneer on the bathroom furnishings had come away; and the sofa and bedroom carpet ""looked very well used",NEGATIVE,0.22,0.78
"Luxury included, even popcorn",POSITIVE,0.99,0.01
below par - could do better,POSITIVE,0.97,0.03
"My wife and I got married at the resort last year and decided to return for our anniversary. We opted for the same package as before - villa with private plunge pool and butler service. We were allocated a villa on the Caribbean side and as we walked out onto the patio, a cat was waiting to ""greet"" us!! My wife has a fear of cats and this cat wasn't for leaving! We then realised we were right beside the ""Cat Caf̩""....a kennel-like structure with feeding bowls. The next day we were moved to a villa on the Mediterranean side which, in fact, was the villa we had the year before and which we much preferred as it was quieter. Our main concern was dining, particularly at Bayside and especially at Eleanor's where, at one point, we had 4 cats under our table (Eleanor's being labelled as the top restaurant in the resort)....completely unacceptable!! We therefore had to stop eating at the Caribbean side for fear of this happening again. There should be a strict ""no feeding the cats"" rule as not all guests are happy to dine with them!Our only other criticism was the activities beside the main pool....at certain points, it felt like we were on an 18-30's holiday with Bingo and games being played. Having paid $17,000+ for our 10 day holiday, it just didn't feel as classy as the previous year. 4 stars is still good but sadly not exceptional.",POSITIVE,1.0,0.0
"Enjoyed the holiday, but resort could do with updating and customer care training for a small minority of staff.",POSITIVE,0.89,0.11
"Very good location, nice pools and bars restaurants average",POSITIVE,0.99,0.01
"Not a new visitor, last visit 4years ago. Found much improved property including free Wi-Fi accessible in all areas of the facilty.",POSITIVE,0.96,0.04
"Lovely beach, although a shame about the very uncomfortable sun loungers!",NEGATIVE,0.29,0.71
"Good location, lovely grounds/gardens. Good restaurants.",POSITIVE,0.98,0.02
"brilliant food and facilities, also top accomodation and fantastic attention to detail.",POSITIVE,1.0,0.0
"Generally good, one or two tired looking buildings, such as the English pub",POSITIVE,0.99,0.01
Great location lovely gardens great beach lovely pools and nice restaurants,POSITIVE,1.0,0.0
"Grounds are beautiful, beach is nice (unfortunate that the coountry does not allow private beaches). Location is not too far from the airport. Facilities very good. Shower suite for late departures very good idea. Staff extremely friendly and helpful.",POSITIVE,1.0,0.0
"Excellent beach setting and beautiful grounds.The use of sunbeds & shades needs to be properly controlled,more shades are needed.",POSITIVE,1.0,0.0
"We had an absolutely superb holiday. We drank cocktails in the evening, played pool and spent our days in the sun. Perfection doesn't come closer than this.",POSITIVE,0.9,0.1
"this is a lovely well kept resort which is in a lovely location with great gardens and facilities. If it wasn't for the lack of attention to detail we would have rated it higher but too many little things needed a bit more consistency. Towels and drinks were lacking at the smaller pool we preferred relaxing by and housekeeping was dependent on what time they got to the room and what toiletries or tea and coffee they had left to leave in the room. Food, drink and service were always very good at restaurants and bars.",POSITIVE,0.8,0.2
Perfect location and the resort had everything that was required.,POSITIVE,0.87,0.13
Butlers excellent. resort excellent.,POSITIVE,0.99,0.01
The facilities were good but most restaurants were not as good as previously. Eleanors was very good.though and the breakfast in Bayside. As Diamond guests we expected but were not given: In room check-in ( after 1 hour at reception tablet not working)we had to return next day. No goodies left in room. No flowers in room. WE DID GET a Tshirt each. This was our 4th visit to Antigua but overall we will not be inclined to go again.,POSITIVE,0.94,0.06
"We stayed in Caribbean beach front room which was very tired, in desperate need of upgrade.Knob on top of 4 poster bed was hanging off.Patio doors were difficult to close effectively.Magnifying mirror persistently flopped over - even after maintenance trying to fix it.Bathroom washbasin glaze was cracked. Plug didn't fit.Not a 6 star room!",NEGATIVE,0.0,1.0
"Great resort. Lovely rooms, nice pools. We found a small pool, which was really quiet. Food amazing. Stunning beach. All staff very friendly and helpful.",POSITIVE,1.0,0.0
Good holiday but beware of mosquitos,POSITIVE,0.95,0.05
Good flights with Virgin Atlantic pick and drop of airport also good nice room,POSITIVE,0.99,0.01
"Restaurant choices very good. Enjoyed the main dining room for breakfast, lunch & dinner.The French bakery was much too tempting! Certainly enjoyed coffee & cake every evening.",POSITIVE,1.0,0.0
Just one word Fantastic resort,POSITIVE,0.96,0.04
gardens and pools fantastic as was the beach,POSITIVE,0.99,0.01
"Sandals can normally be relied upon to give a brilliant holiday experience. This site, like all the other 6 we have stayed at, provides wonderful rooms; a wide variety of restaurants; high quality food and drinks; wonderful and friendly service; beautiful gardens; and great entertainment.During the day we like to sunbath in quiet shady areas. We have found that this is the one area that Sandals, sometimes, falls short of the standard we come to expect. The Antigua resort is the poorest we have visited in this respect. There are more than enough sunbeds but many do not have shade or are located around noisy pools. You have to be up before 7am to reserve a sunbed with shade. Even then there were several mornings when we were literally the last to find a suitable bed. We expressed our concerns via the 'loop' but only got a bland reply - obviously Sandals are not concerned about this issue! If you don't mind getting up every day before 7am then I can't fault this resort but, if like us, you would prefer to get up later then avoid this resort. Many other Sandals' resorts are a lot better.This is a large site with beautiful gardens. The resort fronts onto a clean beach. All beaches in Antigua are open to the public. Consequently, there are many people wandering up and down the beach trying to sell you things. However, they are very friendly and will only engage with you if that is what you want. If you are sunbathing on or near the beach, the friendly staff will come and take you orders for drinks.There are a lot of restaurants serving a wide variety of food. There are ony 2 restaurants that require a reservation with about 3 days leadtime. There was only one restaurant, Barefoot on the Beach, where there was a problem getting a table. You needed to be there when it opened otherwise you would have to wait for a table. One of the restaurants. Eleanor's, provides a la carte breakfasts. This was our favourite and we had all our breakfasts here.Overall, a great holiday let down by having to get up before 7am.",NEGATIVE,0.27,0.73
"because its 5 star, ok ok ok",POSITIVE,0.78,0.22
Great hotel beautiful surroundings excellent service,POSITIVE,1.0,0.0
Great location with the Caribbean Sea literally a couple of minutes from your room.,POSITIVE,0.94,0.06
Fantastic beach very clean,POSITIVE,0.99,0.01
such lovely friendly staff who are so well trained,POSITIVE,1.0,0.0
The volume of the music at the main pool was too excessive & not the right choice of music in keeping with your marketing for a romantic relaxing resort.The choices of food were great as was the service from all the staff.,POSITIVE,0.89,0.11
superb setting and beach. Terrific staff,POSITIVE,1.0,0.0
Excellent resort only one negative point u have to be up very early for a sunbed with shade before the butlers get them all !! Claudine and teshana in drunken duck pub gave excellent customer service and looked after us every night of our holiday,POSITIVE,0.94,0.06
It was ok but spoilt by the incessant loud music by the pool and the poor service in the shop,NEGATIVE,0.08,0.92
The updates around Caribbean pool look good.Revamp of Sunset Bluff excellent,POSITIVE,0.99,0.01
Really clean and polite staff. Food was really nice and a good choice,POSITIVE,0.99,0.01
"People, service and facilities excellent as always!",POSITIVE,0.94,0.06
Excellent resort with some staff very morose - maybe the culture.,POSITIVE,1.0,0.0
Absolutely brilliant . Everything was pertectly seen to,POSITIVE,1.0,0.0
Not for me again. Did not live up to my expectations.,POSITIVE,0.83,0.17
"This is a beautiful resort in a great location. We stayed here 5 years ago and had great memories. We were concerned that our return trip may not live up to our memories and expectations, we need not have worried, it was just as good as last time.",POSITIVE,0.96,0.04
The resort is great we had a fantastic week relaxed a lot which was ideal exactly what we were after. One slight thing that was a bit of a pain was if you didn't take the butler service you didn't manage to get beds on the beach with an umbrella for some shade as the butlers had been down and reserved the beds for the guests early in the morning. I think next time we will take the butler service purely for this as was nightmare especially as we had caught a bit too much sun the first day.,NEGATIVE,0.48,0.52
